pl_name,hostname,tic_id,pl_orbsmax,pl_rade,pl_masse,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,SpT_PM,Lxuv/Lbol,t_sat,gamma
HIP 94235 b,HIP 94235,TIC 464646604,0.0787,3.0,379.0,G V,5991.0,1.08,1.094,1.373,0.118,F9.5V,0.001,0.1,1.23
TOI-5542 b,TOI-5542,TIC 466206508,0.332,11.30986153,419.53349724,G3 V,5700.0,1.058,0.89,11.402,10.8,G3V,0.001,0.1,1.23
TOI-1266 c,TOI-1266,TIC 467179528,0.105,1.98,3.17,M2,3563.0,0.4232,0.437,0.026,4.6,M2V,0.001,0.6,1.23
TOI-1266 b,TOI-1266,TIC 467179528,0.073,2.52,4.46,M2,3563.0,0.4232,0.437,0.026,4.6,M2V,0.001,0.6,1.23
TOI-1266 d,TOI-1266,TIC 467179528,0.1513,1.74,3.68,M2,3563.0,0.4232,0.437,0.026,4.6,M2V,0.001,0.6,1.23
TIC 4672985 b,TIC 4672985,TIC 4672985,0.33,11.5004142,4049.13390518,,5757.0,1.15,1.01,1.300,7.71,G2V,0.001,0.1,1.23
TOI-2031 A b,TOI-2031 A,TIC 470127886,0.066,14.20177855,254.2627256,,6490.0,1.241,1.174,2.460,2.0,F5V,0.001,0.1,1.23
TOI-4153 b,TOI-4153,TIC 470171739,0.06311,16.11851425,365.50266805,,6860.0,1.605,1.572,5.170,0.4,F2V,0.001,0.1,1.23
TOI-1696 b,TOI-1696,TIC 470381900,0.0229,3.09,48.8,M5V,3185.0,0.2775,0.255,0.007,7.1,M4V,0.001,0.6,1.23
TOI-2295 b,TOI-2295,TIC 48018596,0.1992,16.47720163,278.099856125,,5730.0,1.459,1.168,2.060,10.5,G3V,0.001,0.1,1.23
TOI-2992 b,TOI-2992,TIC 49045066,0.0434,13.75341932,1058.36859531,,6000.0,1.545,1.21,2.790,4.6,F9.5V,0.001,0.1,1.23
Wolf 327 b,Wolf 327,TIC 4918918,0.01,1.24,2.53,M2.5 V,3542.0,0.406,0.405,0.023,4.1,M2V,0.001,0.6,1.23
TOI-4914 b,TOI-4914,TIC 49254857,0.098,12.87,227.0,,5805.0,1.0,1.03,1.021,5.3,G2V,0.001,0.1,1.23
TOI-544 b,TOI-544,TIC 50618703,0.0225,2.018,2.89,,4169.0,0.623,0.631,0.126,9.0,K7V,0.001,0.1,1.23
Gliese 12 b,Gliese 12,TIC 52005579,0.067,0.93,0.95,M3.0 V,3328.0,0.265,0.255,0.007,7.0,M3.5V,0.001,0.6,1.23
TOI-125 b,TOI-125,TIC 52368076,0.05186,2.726,9.5,K0 V,5320.0,0.848,0.859,0.519,6.8,K0V,0.001,0.1,1.23
TOI-125 d,TOI-125,TIC 52368076,0.137,2.93,13.6,K0 V,5320.0,0.848,0.859,0.519,6.8,K0V,0.001,0.1,1.23
TOI-125 c,TOI-125,TIC 52368076,0.0814,2.759,6.63,K0 V,5320.0,0.848,0.859,0.519,6.8,K0V,0.001,0.1,1.23
NGTS-11 b,NGTS-11,TIC 54002556,0.201,9.157753,109.33352,K,5050.0,0.832,0.862,0.403,3.9,K2V,0.001,0.1,1.23
TOI-663 b,TOI-663,TIC 54962195,0.0295,2.27,4.45,M1 V,3681.0,0.512,0.514,0.043,nan,M1V,0.001,0.6,1.23
TOI-663 d,TOI-663,TIC 54962195,0.0576,1.92,5.2,M1 V,3681.0,0.512,0.514,0.043,nan,M1V,0.001,0.6,1.23
TOI-663 c,TOI-663,TIC 54962195,0.0437,2.26,3.65,M1 V,3681.0,0.512,0.514,0.043,nan,M1V,0.001,0.6,1.23
TOI-216.01,TOI-216,TIC 55652896,0.2069,10.1,177.98390792,,5026.0,0.748,0.77,0.362,nan,K2V,0.001,0.1,1.23
