pl_name,hostname,pl_orbsmax,pl_rade,pl_masse,st_spectype,st_teff,st_lum,st_age,SpT_PM,Lxuv/Lbol,t_sat,gamma,v_esc,"Loss/0.01protoatm., t=0.1 Gyr",insol_0.1_Gyr,"Loss/0.01protoatm., t=0.6 Gyr",insol_0.6_Gyr,"Loss/0.01protoatm., t=1.0 Gyr",insol_1.0_Gyr,"Loss/0.01protoatm., t=5.0 Gyr",insol_5.0_Gyr,"Loss/0.01protoatm., t=10.0 Gyr",insol_10.0_Gyr,"Loss/0.01protoatm., star_age",insol_star_age
LP 890-9 c,LP 890-9,0.03984,1.367,25.3,M6 V,2850.0,0.00144,7.2,M6V,0.00010,0.6,1.23,48.1,0.00000533,0.09079,0.00003197,0.22067,0.00004739,0.28958,0.00008563,0.40751,0.00009821,0.43566,0.00009250,0.44444
LTT 9779 b,LTT 9779,0.01679,4.72,29.32,G7 V,5443.0,0.68000,2.0,G8V,0.00100,0.1,1.23,27.9,4.33986268,2412.17386,10.71276330,2412.17386,12.09795866,2412.17386,15.53548010,2412.17386,16.66626426,2412.17386,13.73531355,2153.25762
NGTS-10 b,NGTS-10,0.0143,13.506845,687.14846,K5 V,4600.0,0.17509,10.4,K4V,0.00100,0.1,1.23,79.7,0.06572458,856.24476,0.16223829,856.24476,0.18321623,856.24476,0.23527540,856.24476,0.25240044,856.24476,0.25329023,930.70773
NGTS-11 b,NGTS-11,0.201,9.157753,109.33352,K,5050.0,0.40255,3.9,K2V,0.00100,0.1,1.23,38.6,0.00941580,9.96387,0.02324250,9.96387,0.02624783,9.96387,0.03370591,9.96387,0.03615926,9.96387,0.03272682,9.76785
NGTS-12 b,NGTS-12,0.0757,11.747032,66.10864,G,5690.0,2.17987,9.4,G4V,0.00100,0.1,1.23,26.5,2.07527458,380.39801,5.12272554,380.39801,5.78511072,380.39801,7.42889565,380.39801,7.96962419,380.39801,7.92478193,409.70833
NGTS-13 b,NGTS-13,0.0549,12.800678,1538.2972,,5819.0,3.29003,4.23,G1V,0.00100,0.1,1.23,122.6,0.01423125,1091.57935,0.03512923,1091.57935,0.03967155,1091.57935,0.05094385,1091.57935,0.05465191,1091.57935,0.04995714,1080.77333
NGTS-15 b,NGTS-15,0.0441,12.32987877,238.689133657,G6 V,5600.0,0.82090,3.28,G6V,0.00100,0.1,1.23,49.2,0.20426467,422.09754,0.50421851,422.09754,0.56941561,422.09754,0.73120971,422.09754,0.78443242,422.09754,0.69443483,404.73974
NGTS-16 b,NGTS-16,0.0523,14.57167491,211.991547469,G7 V,5550.0,1.31015,10.29,G7V,0.00100,0.1,1.23,42.6,0.48503968,478.97916,1.19729947,478.97916,1.35211421,478.97916,1.73630478,478.97916,1.86268555,478.97916,1.86747765,520.13917
NGTS-17 b,NGTS-17,0.0391,13.89913607,242.820902948,G4 V,5650.0,1.74261,9.22,G5V,0.00100,0.1,1.23,46.7,0.76349656,1139.84680,1.88465822,1139.84680,2.12835070,1139.84680,2.73310158,1139.84680,2.93203640,1139.84680,2.91033543,1225.48287
NGTS-18 b,NGTS-18,0.0448,13.56286665,129.991818463,G5 V,5610.0,1.86337,10.84,G6V,0.00100,0.1,1.23,34.6,2.01620982,928.41890,4.97692672,928.41890,5.62045964,928.41890,7.21746051,928.41890,7.74279928,928.41890,7.79866695,1012.86932
NGTS-2 b,NGTS-2,0.063,17.878355,235.1942,F5 V,6478.0,4.27337,2.17,F5V,0.00100,0.1,1.23,40.5,1.63601647,1076.68559,4.03843589,1076.68559,4.56061887,1076.68559,5.85647593,1076.68559,6.28275244,1076.68559,5.24424395,973.43938
NGTS-20 b,NGTS-20,0.313,11.99360935,947.12865286,G1 IV,5980.0,4.41601,4.1,F9.5V,0.00100,0.1,1.23,99.3,0.00127509,45.07558,0.00314752,45.07558,0.00355450,45.07558,0.00456448,45.07558,0.00489671,45.07558,0.00445919,44.46104
NGTS-21 b,NGTS-21,0.0236,14.90794433,750.07504052,K3 V,4660.0,0.28937,10.02,K4V,0.00100,0.1,1.23,79.3,0.04500380,519.56034,0.11108993,519.56034,0.12545422,519.56034,0.16110086,519.56034,0.17282694,519.56034,0.17285811,562.86130
NGTS-23 b,NGTS-23,0.0504,14.20177855,194.828813491,F9 V,6057.0,1.91999,6.39,F9V,0.00100,0.1,1.23,41.4,0.83893842,755.85576,2.07088319,755.85576,2.33865516,755.85576,3.00316208,755.85576,3.22175386,755.85576,3.08453214,783.83191
